"classe","region","nb_index","regiao_agrupada"
"Cruciform","Promotor",833,"Promotor"
"Cruciform","Promotor",834,"Promotor"
"Cruciform","Promotor",851,"Promotor"
"Cruciform","Promotor",855,"Promotor"
"Cruciform","Promotor",864,"Promotor"
"Cruciform","Promotor",874,"Promotor"
"Cruciform","Promotor",910,"Promotor"
"Cruciform","Promotor",924,"Promotor"
"Cruciform","Promotor",934,"Promotor"
"Cruciform","Promotor",935,"Promotor"
"Cruciform","Promotor",959,"Promotor"
"Cruciform","Promotor",981,"Promotor"
"Cruciform","Promotor",995,"Promotor"
"Cruciform","Promotor",996,"Promotor"
"Cruciform","Promotor",1001,"Promotor"
"Cruciform","Promotor",1014,"Promotor"
"Cruciform","Promotor",1015,"Promotor"
"Cruciform","Promotor",1016,"Promotor"
"Cruciform","Promotor",1038,"Promotor"
"Cruciform","Promotor",1039,"Promotor"
"Cruciform","Promotor",1042,"Promotor"
"Cruciform","Promotor",1044,"Promotor"
"Cruciform","Promotor",1043,"Promotor"
"Cruciform","Promotor",1076,"Promotor"
"Cruciform","Promotor",1101,"Promotor"
"Cruciform","Promotor",1107,"Promotor"
"Cruciform","Promotor",1123,"Promotor"
"Cruciform","Promotor",1124,"Promotor"
"Cruciform","Promotor",1126,"Promotor"
"Cruciform","Promotor",1153,"Promotor"
"Cruciform","Promotor",1165,"Promotor"
"Cruciform","Promotor",1175,"Promotor"
"Cruciform","Promotor",1178,"Promotor"
"Cruciform","Promotor",1182,"Promotor"
"Cruciform","Promotor",1182,"Promotor"
"Cruciform","Promotor",1187,"Promotor"
"Cruciform","Promotor",1198,"Promotor"
"Cruciform","Promotor",1201,"Promotor"
"Cruciform","Promotor",1202,"Promotor"
"Cruciform","Promotor",1209,"Promotor"
"Cruciform","Promotor",1228,"Promotor"
"Cruciform","Promotor",1229,"Promotor"
"Cruciform","Promotor",1243,"Promotor"
"Cruciform","Promotor",1281,"Promotor"
"Cruciform","Promotor",1283,"Promotor"
"Cruciform","Promotor",1284,"Promotor"
"Cruciform","Promotor",1285,"Promotor"
"Cruciform","Promotor",1286,"Promotor"
"Cruciform","Promotor",1294,"Promotor"
"Cruciform","Promotor",1301,"Promotor"
"Cruciform","Promotor",1301,"Promotor"
"Cruciform","Promotor",1304,"Promotor"
"Cruciform","Promotor",1314,"Promotor"
"Cruciform","Promotor",1315,"Promotor"
"Cruciform","Promotor",1318,"Promotor"
"Cruciform","Promotor",1317,"Promotor"
"Cruciform","Promotor",1318,"Promotor"
"Cruciform","Promotor",1327,"Promotor"
"Cruciform","Promotor",1332,"Promotor"
"Cruciform","Promotor",1333,"Promotor"
"Cruciform","Promotor",1332,"Promotor"
"Cruciform","Promotor",1333,"Promotor"
"Cruciform","Promotor",1361,"Promotor"
"Cruciform","Promotor",1364,"Promotor"
"Cruciform","Promotor",1368,"Promotor"
"Cruciform","Promotor",1384,"Promotor"
"Cruciform","Promotor",1386,"Promotor"
"Cruciform","Promotor",1397,"Promotor"
"Cruciform","Promotor",1398,"Promotor"
"Cruciform","Promotor",1406,"Promotor"
"Cruciform","Promotor",1421,"Promotor"
"Cruciform","Promotor",1426,"Promotor"
"Cruciform","Promotor",1452,"Promotor"
"Cruciform","Promotor",1452,"Promotor"
"Cruciform","Promotor",1461,"Promotor"
"Cruciform","Promotor",1467,"Promotor"
"Cruciform","Promotor",1470,"Promotor"
"Cruciform","Promotor",1482,"Promotor"
"Cruciform","Promotor",1490,"Promotor"
"Cruciform","Promotor",1507,"Promotor"
"Cruciform","Promotor",1508,"Promotor"
"Cruciform","Promotor",1520,"Promotor"
"Cruciform","Promotor",1519,"Promotor"
"Cruciform","Promotor",1520,"Promotor"
"Cruciform","Promotor",1533,"Promotor"
"Cruciform","Promotor",1533,"Promotor"
"Cruciform","Promotor",1535,"Promotor"
"Cruciform","Promotor",1536,"Promotor"
"Cruciform","Promotor",1580,"Promotor"
"Cruciform","Promotor",1580,"Promotor"
"Cruciform","Promotor",1625,"Promotor"
"Cruciform","Promotor",1644,"Promotor"
"Cruciform","Promotor",1653,"Promotor"
"Cruciform","Promotor",1654,"Promotor"
"Cruciform","Promotor",1662,"Promotor"
"Cruciform","Promotor",1665,"Promotor"
"Cruciform","Promotor",1676,"Promotor"
"Cruciform","Promotor",1719,"Promotor"
"Cruciform","Promotor",1742,"Promotor"
"Cruciform","Promotor",1741,"Promotor"
"Cruciform","Promotor",1742,"Promotor"
"Cruciform","Promotor",1760,"Promotor"
"Cruciform","Promotor",1781,"Promotor"
"Cruciform","Promotor",1787,"Promotor"
"Cruciform","Promotor",1831,"Promotor"
"Cruciform","Promotor",1843,"Promotor"
"Cruciform","Promotor",1844,"Promotor"
"Cruciform","Promotor",1854,"Promotor"
"Cruciform","Promotor",1855,"Promotor"
"Cruciform","Promotor",1874,"Promotor"
"Cruciform","Promotor",1874,"Promotor"
"Cruciform","Promotor",1874,"Promotor"
"Cruciform","Promotor",1902,"Promotor"
"Cruciform","Promotor",1923,"Promotor"
"Cruciform","Promotor",1926,"Promotor"
"Cruciform","Promotor",1935,"Promotor"
"Cruciform","Promotor",1941,"Promotor"
"Cruciform","Promotor",1947,"Promotor"
"Cruciform","Promotor",1947,"Promotor"
"Cruciform","Promotor",1962,"Promotor"
"Cruciform","Promotor",1968,"Promotor"
"Cruciform","Promotor",1968,"Promotor"
"Cruciform","Promotor",1968,"Promotor"
"Cruciform","Promotor",1976,"Promotor"
"Cruciform","Promotor",1983,"Promotor"
"Cruciform","Promotor",1984,"Promotor"
"Cruciform","Promotor",1985,"Promotor"
