"Classe","Mediana","Media","Q1","Q3","Min","Max","n"
"A-phased",0.375,0.383843045038697,0.336538461538462,0.434166666666667,0.28,0.541666666666667,18
"R-loop",0.71264367816092,0.711811057855578,0.694218490906005,0.731735117503151,0.544715447154472,0.808510638297872,1199
"Triplex",0.72463768115942,0.710995768668681,0.666666666666667,0.784313725490196,0.238095238095238,1,871
"Short_tandem",0.727272727272727,0.814561234991386,0.7,1,0,1,1649
"Z-DNA",0.72972972972973,0.734732349841774,0.695652173913043,0.769230769230769,0.452380952380952,1,12971
"Cruciform",0.733333333333333,0.73320834832093,0.663031071655041,0.833333333333333,0,1,8096
"G-quadruplex",0.833333333333333,0.829986617650784,0.791666666666667,0.869565217391304,0.695652173913043,1,161
