"Comparacao","OR","OR_lower","OR_upper","p_value","a","b","c","d","Significativo","Contagem","Label"
"SMAP vs Hi-C",176.88321464953,157.972910304932,200.893528269736,0,750,557,19373,2550330,"p < 0.05","750/1307","176.88 [157.97-200.89]"
"SMAP vs Cruciform",50.2988347768728,42.5867998485384,59.0492339015067,1.39863488980033e-220,176,1131,7920,2561783,"p < 0.05","176/1307","50.3 [42.59-59.05]"
"Hi-C vs Cruciform",573.22922411671,542.516556291326,609.397248506621,0,6161,13962,1935,2548952,"p < 0.05","6161/20123","573.23 [542.52-609.4]"
"Cruciform vs TnpB",829.482006056434,201.764540807806,4130.64412613083,1.57641958759121e-18,8,8088,3,2562911,"p < 0.05","8/8096","829.48 [201.76-4130.64]"
"Tripla (SMAP∩Hi-C∩Cruciform)",355.963615983318,283.898439529677,444.112117273207,3.50034162898829e-227,109,1198,657,2569046,"p < 0.05","109/1307","355.96 [283.9-444.11]"
"Tripla (Hi-C∩Cruciform∩TnpB)",0.433296114070568,0.274399816921863,0.650882229293823,6.02771328541604e-06,23,20100,6719,2544168,"p < 0.05","23/20123","0.43 [0.27-0.65]"
