"classe","region","nb_index"
"Cruciform","Promotor",986
"Cruciform","Promotor",999
"Cruciform","Promotor",1023
"Cruciform","Promotor",1024
"Cruciform","Promotor",1023
"Cruciform","Promotor",1024
"Cruciform","Promotor",1045
"Cruciform","Promotor",1049
"Cruciform","Promotor",1050
"Cruciform","Promotor",1059
"Cruciform","Promotor",1069
"Cruciform","Promotor",1077
"Cruciform","Promotor",1102
"Cruciform","Promotor",1103
"Cruciform","Promotor",1104
"Cruciform","Promotor",1121
"Cruciform","Promotor",1132
"Cruciform","Promotor",1131
"Cruciform","Promotor",1141
"Cruciform","Promotor",1152
"Cruciform","Promotor",1154
"Cruciform","Promotor",1185
"Cruciform","Promotor",1213
"Cruciform","Promotor",1214
"Cruciform","Promotor",1229
"Cruciform","Promotor",1230
"Cruciform","Promotor",1231
"Cruciform","Promotor",1242
"Cruciform","Promotor",1243
"Cruciform","Promotor",1256
"Cruciform","Promotor",1257
"Cruciform","Promotor",1258
"Cruciform","Promotor",1285
"Cruciform","Promotor",1286
"Cruciform","Promotor",1289
"Cruciform","Promotor",1291
"Cruciform","Promotor",1290
"Cruciform","Promotor",1330
"Cruciform","Promotor",1331
"Cruciform","Promotor",1349
"Cruciform","Promotor",1359
"Cruciform","Promotor",1367
"Cruciform","Promotor",1384
"Cruciform","Promotor",1385
"Cruciform","Promotor",1387
"Cruciform","Promotor",1421
"Cruciform","Promotor",1433
"Cruciform","Promotor",1446
"Cruciform","Promotor",1449
"Cruciform","Promotor",1453
"Cruciform","Promotor",1454
"Cruciform","Promotor",1453
"Cruciform","Promotor",1454
"Cruciform","Promotor",1460
"Cruciform","Promotor",1475
"Cruciform","Promotor",1478
"Cruciform","Promotor",1479
"Cruciform","Promotor",1480
"Cruciform","Promotor",1489
"Cruciform","Promotor",1492
"Cruciform","Promotor",1493
"Cruciform","Promotor",1523
"Cruciform","Promotor",1524
"Cruciform","Promotor",1538
"Cruciform","Promotor",1539
"Cruciform","Promotor",1592
"Cruciform","Promotor",1598
"Cruciform","Promotor",1599
"Cruciform","Promotor",1600
"Cruciform","Promotor",1601
"Cruciform","Promotor",1602
"Cruciform","Promotor",1603
"Cruciform","Promotor",1614
"Cruciform","Promotor",1623
"Cruciform","Promotor",1623
"Cruciform","Promotor",1626
"Cruciform","Promotor",1636
"Cruciform","Promotor",1637
"Cruciform","Promotor",1640
"Cruciform","Promotor",1639
"Cruciform","Promotor",1640
"Cruciform","Promotor",1650
"Cruciform","Promotor",1656
"Cruciform","Promotor",1657
"Cruciform","Promotor",1656
"Cruciform","Promotor",1657
"Cruciform","Promotor",1688
"Cruciform","Promotor",1691
"Cruciform","Promotor",1696
"Cruciform","Promotor",1724
"Cruciform","Promotor",1726
"Cruciform","Promotor",1739
"Cruciform","Promotor",1740
"Cruciform","Promotor",1749
"Cruciform","Promotor",1775
"Cruciform","Promotor",1780
"Cruciform","Promotor",1810
"Cruciform","Promotor",1810
"Cruciform","Promotor",1819
"Cruciform","Promotor",1826
