"classe","region","nb_index"
"Cruciform","100%",1773
"Cruciform","100%",1778
"Cruciform","60%",1781
"Cruciform","60%",1782
"Cruciform","70%",1782
"Cruciform","80%",1802
"Cruciform","90%",1802
"Cruciform","90%",1803
"Cruciform","40%",1811
"Cruciform","90%",1812
"Cruciform","100%",1812
"Cruciform","70%",1813
"Cruciform","80%",1813
"Cruciform","100%",1814
"Cruciform","40%",1815
"Cruciform","80%",1816
"Cruciform","90%",1816
"Cruciform","100%",1817
"Cruciform","30%",1818
"Cruciform","100%",1819
"Cruciform","20%",1820
"Cruciform","40%",1821
"Cruciform","100%",1822
"Cruciform","10%",1823
"Cruciform","30%",1824
"Cruciform","100%",1825
"Cruciform","20%",1826
"Cruciform","30%",1826
"Cruciform","80%",1827
"Cruciform","80%",1828
"Cruciform","90%",1828
"Cruciform","40%",1829
"Cruciform","50%",1829
"Cruciform","20%",1830
"Cruciform","40%",1831
"Cruciform","80%",1832
"Cruciform","80%",1833
"Cruciform","90%",1833
"Cruciform","100%",1833
"Cruciform","100%",1834
"Cruciform","30%",1844
"Cruciform","70%",1872
"Cruciform","100%",1873
"Cruciform","100%",1874
"Cruciform","20%",1902
"Cruciform","30%",1902
"Cruciform","80%",1903
"Cruciform","90%",1903
"Cruciform","20%",1905
"Cruciform","30%",1905
"Cruciform","30%",1906
"Cruciform","50%",1907
"Cruciform","80%",1908
"Cruciform","80%",1909
"Cruciform","80%",1910
"Cruciform","80%",1911
"Cruciform","30%",1912
"Cruciform","40%",1912
"Cruciform","50%",1912
"Cruciform","60%",1913
"Cruciform","70%",1913
"Cruciform","70%",1914
"Cruciform","80%",1915
"Cruciform","10%",1916
"Cruciform","20%",1916
"Cruciform","30%",1916
"Cruciform","80%",1917
"Cruciform","40%",1922
"Cruciform","80%",1923
"Cruciform","80%",1924
"Cruciform","90%",1925
"Cruciform","90%",1940
"Cruciform","30%",1941
"Cruciform","30%",1942
"Cruciform","40%",1942
"Cruciform","40%",1943
"Cruciform","50%",1944
"Cruciform","80%",1945
"Cruciform","80%",1946
"Cruciform","90%",1947
"Cruciform","30%",1948
"Cruciform","50%",1949
"Cruciform","60%",1949
"Cruciform","70%",1950
"Cruciform","80%",1951
"Cruciform","90%",1952
"Cruciform","30%",1955
"Cruciform","40%",1955
"Cruciform","80%",1956
"Cruciform","100%",1957
"Cruciform","10%",1958
"Cruciform","30%",1959
"Cruciform","40%",1959
"Cruciform","40%",1960
"Cruciform","40%",1961
"Cruciform","50%",1962
"Cruciform","10%",1964
"Cruciform","20%",1965
"Cruciform","20%",1966
"Cruciform","30%",1967
"Cruciform","80%",1968
"Cruciform","90%",1969
"Cruciform","10%",1970
"Cruciform","20%",1971
"Cruciform","20%",1972
"Cruciform","40%",1973
"Cruciform","50%",1973
"Cruciform","60%",1974
"Cruciform","90%",1975
"Cruciform","90%",1976
"Cruciform","20%",1997
"Cruciform","40%",1998
"Cruciform","90%",1999
"Cruciform","100%",1999
"Cruciform","50%",2000
"Cruciform","60%",2000
"Cruciform","60%",2001
"Cruciform","10%",2002
"Cruciform","40%",2003
"Cruciform","50%",2004
"Cruciform","50%",2005
"Cruciform","70%",2006
"Cruciform","100%",2007
"Cruciform","60%",2008
"Cruciform","70%",2008
"Cruciform","30%",2009
"Cruciform","40%",2010
"Cruciform","50%",2010
"Cruciform","90%",2011
"Cruciform","30%",2012
"Cruciform","70%",2013
"Cruciform","20%",2015
"Cruciform","100%",2016
"Cruciform","10%",2018
"Cruciform","20%",2018
"Cruciform","30%",2019
"Cruciform","40%",2022
"Cruciform","50%",2022
"Cruciform","50%",2023
"Cruciform","20%",2024
"Cruciform","30%",2025
"Cruciform","70%",2026
"Cruciform","90%",2027
"Cruciform","70%",2032
"Cruciform","80%",2033
"Cruciform","80%",2034
"Cruciform","40%",2048
"Cruciform","50%",2048
"Cruciform","90%",2049
"Cruciform","100%",2050
"Cruciform","20%",2052
"Cruciform","30%",2059
"Cruciform","100%",2060
"Cruciform","60%",2062
"Cruciform","70%",2063
"Cruciform","80%",2064
"Cruciform","20%",2065
"Cruciform","30%",2065
"Cruciform","40%",2065
"Cruciform","50%",2065
"Cruciform","60%",2065
"Cruciform","70%",2065
"Cruciform","80%",2065
"Cruciform","90%",2065
"Cruciform","100%",2065
"Cruciform","60%",2076
"Cruciform","100%",2077
"Cruciform","10%",2078
"Cruciform","30%",2079
"Cruciform","50%",2080
"Cruciform","60%",2081
"Cruciform","90%",2082
"Cruciform","100%",2083
"Cruciform","40%",2089
"Cruciform","50%",2089
"Cruciform","50%",2090
"Cruciform","10%",2091
"Cruciform","20%",2091
"Cruciform","20%",2092
"Cruciform","40%",2093
"Cruciform","50%",2094
"Cruciform","60%",2095
"Cruciform","60%",2096
"Cruciform","60%",2097
"Cruciform","90%",2098
"Cruciform","40%",2100
"Cruciform","40%",2101
"Cruciform","80%",2102
"Cruciform","100%",2103
"Cruciform","60%",2104
"Cruciform","10%",2105
"Cruciform","10%",2106
"Cruciform","20%",2106
"Cruciform","20%",2107
"Cruciform","30%",2107
"Cruciform","40%",2108
"Cruciform","80%",2109
"Cruciform","90%",2110
"Cruciform","90%",2111
"Cruciform","100%",2112
"Cruciform","10%",2116
"Cruciform","30%",2119
"Cruciform","50%",2120
"Cruciform","60%",2121
"Cruciform","30%",2122
"Cruciform","50%",2123
"Cruciform","80%",2124
"Cruciform","90%",2125
"Cruciform","100%",2125
"Cruciform","40%",2126
"Cruciform","20%",2142
"Cruciform","60%",2143
"Cruciform","60%",2144
"Cruciform","80%",2145
"Cruciform","80%",2146
"Cruciform","100%",2147
"Cruciform","10%",2148
"Cruciform","10%",2149
"Cruciform","20%",2150
"Cruciform","50%",2151
"Cruciform","80%",2152
"Cruciform","50%",2153
"Cruciform","20%",2154
"Cruciform","30%",2155
"Cruciform","50%",2156
"Cruciform","60%",2157
"Cruciform","70%",2158
"Cruciform","80%",2159
"Cruciform","90%",2160
"Cruciform","60%",2161
"Cruciform","30%",2162
"Cruciform","30%",2163
"Cruciform","40%",2164
"Cruciform","60%",2165
"Cruciform","70%",2188
"Cruciform","80%",2188
"Cruciform","30%",2189
"Cruciform","80%",2190
"Cruciform","20%",2191
"Cruciform","30%",2192
"Cruciform","40%",2192
"Cruciform","50%",2192
"Cruciform","90%",2193
"Cruciform","20%",2195
"Cruciform","30%",2196
"Cruciform","70%",2197
"Cruciform","80%",2198
"Cruciform","10%",2200
"Cruciform","20%",2201
"Cruciform","30%",2202
"Cruciform","50%",2203
"Cruciform","60%",2204
"Cruciform","70%",2205
"Cruciform","10%",2231
"Cruciform","40%",2232
"Cruciform","60%",2233
"Cruciform","100%",2234
"Cruciform","10%",2269
"Cruciform","30%",2270
"Cruciform","40%",2271
"Cruciform","40%",2272
"Cruciform","70%",2273
"Cruciform","80%",2274
"Cruciform","90%",2275
"Cruciform","100%",2276
"Cruciform","60%",2277
"Cruciform","70%",2278
"Cruciform","80%",2279
"Cruciform","90%",2279
"Cruciform","30%",2280
"Cruciform","40%",2281
"Cruciform","50%",2281
"Cruciform","90%",2282
"Cruciform","10%",2292
"Cruciform","40%",2293
"Cruciform","80%",2294
"Cruciform","90%",2295
"Cruciform","90%",2296
"Cruciform","100%",2296
"Cruciform","20%",2300
"Cruciform","40%",2301
"Cruciform","50%",2302
"Cruciform","50%",2303
"Cruciform","50%",2304
"Cruciform","60%",2305
"Cruciform","60%",2306
"Cruciform","70%",2307
"Cruciform","80%",2308
"Cruciform","90%",2309
"Cruciform","50%",2310
"Cruciform","100%",2311
"Cruciform","10%",2313
"Cruciform","40%",2314
"Cruciform","60%",2337
"Cruciform","70%",2338
"Cruciform","80%",2339
"Cruciform","60%",2340
"Cruciform","60%",2341
"Cruciform","70%",2342
"Cruciform","50%",2343
"Cruciform","100%",2344
"Cruciform","10%",2345
"Cruciform","60%",2346
"Cruciform","100%",2369
"Cruciform","10%",2370
"Cruciform","40%",2371
"Cruciform","40%",2372
"Cruciform","40%",2373
"Cruciform","50%",2373
"Cruciform","60%",2374
"Cruciform","60%",2375
"Cruciform","80%",2376
"Cruciform","90%",2376
"Cruciform","10%",2384
"Cruciform","20%",2391
"Cruciform","30%",2391
"Cruciform","20%",2393
"Cruciform","10%",2400
"Cruciform","20%",2401
"Cruciform","40%",2402
"Cruciform","40%",2403
"Cruciform","60%",2404
"Cruciform","60%",2405
"Cruciform","70%",2406
"Cruciform","80%",2406
"Cruciform","80%",2407
"Cruciform","90%",2408
"Cruciform","90%",2409
"Cruciform","100%",2409
"Cruciform","100%",2410
"Cruciform","30%",2413
"Cruciform","40%",2414
"Cruciform","70%",2415
"Cruciform","100%",2417
"Cruciform","40%",2428
"Cruciform","20%",2430
"Cruciform","30%",2430
"Cruciform","40%",2430
"Cruciform","50%",2430
"Cruciform","60%",2430
"Cruciform","70%",2430
"Cruciform","60%",2438
"Cruciform","60%",2439
"Cruciform","80%",2440
"Cruciform","80%",2441
"Cruciform","20%",2442
"Cruciform","70%",2443
"Cruciform","90%",2444
"Cruciform","10%",2445
"Cruciform","70%",2446
"Cruciform","70%",2447
"Cruciform","80%",2447
"Cruciform","10%",2451
"Cruciform","20%",2452
"Cruciform","50%",2453
"Cruciform","60%",2454
"Cruciform","30%",2460
"Cruciform","30%",2461
"Cruciform","50%",2462
"Cruciform","80%",2463
"Cruciform","90%",2464
"Cruciform","100%",2465
"Cruciform","30%",2466
"Cruciform","70%",2467
"Cruciform","80%",2467
"Cruciform","90%",2467
"Cruciform","30%",2468
"Cruciform","40%",2468
"Cruciform","50%",2469
"Cruciform","60%",2470
"Cruciform","60%",2471
"Cruciform","80%",2472
"Cruciform","90%",2472
"Cruciform","50%",2473
"Cruciform","50%",2474
"Cruciform","70%",2475
"Cruciform","90%",2476
"Cruciform","30%",2477
"Cruciform","70%",2478
"Cruciform","70%",2479
"Cruciform","80%",2479
"Cruciform","20%",2480
"Cruciform","30%",2481
"Cruciform","70%",2482
"Cruciform","80%",2482
"Cruciform","90%",2482
"Cruciform","20%",2507
"Cruciform","30%",2508
"Cruciform","60%",2509
"Cruciform","70%",2509
"Cruciform","70%",2510
"Cruciform","80%",2510
"Cruciform","10%",2511
"Cruciform","20%",2511
"Cruciform","70%",2513
"Cruciform","80%",2513
"Cruciform","10%",2514
"Cruciform","20%",2514
"Cruciform","70%",2515
"Cruciform","80%",2515
"Cruciform","90%",2526
"Cruciform","100%",2527
"Cruciform","80%",2535
"Cruciform","40%",2536
"Cruciform","50%",2536
"Cruciform","60%",2537
"Cruciform","70%",2545
"Cruciform","90%",2546
"Cruciform","60%",2547
"Cruciform","20%",2561
"Cruciform","50%",2562
"Cruciform","20%",2563
"Cruciform","50%",2564
"Cruciform","10%",2571
"Cruciform","30%",2572
"Cruciform","40%",2572
"Cruciform","50%",2573
"Cruciform","50%",2574
"Cruciform","60%",2575
"Cruciform","60%",2576
"Cruciform","60%",2577
"Cruciform","100%",2578
"Cruciform","60%",2579
"Cruciform","20%",2627
"Cruciform","30%",2627
"Cruciform","40%",2627
"Cruciform","50%",2627
"Cruciform","10%",2628
"Cruciform","40%",2629
"Cruciform","50%",2630
"Cruciform","50%",2631
"Cruciform","60%",2631
"Cruciform","60%",2632
"Cruciform","100%",2633
"Cruciform","10%",2635
"Cruciform","10%",2636
"Cruciform","20%",2635
"Cruciform","20%",2636
"Cruciform","20%",2637
"Cruciform","50%",2638
"Cruciform","60%",2638
"Cruciform","90%",2639
"Cruciform","100%",2639
"Cruciform","70%",2640
"Cruciform","80%",2640
"Cruciform","10%",2646
"Cruciform","60%",2647
"Cruciform","60%",2648
"Cruciform","70%",2649
"Cruciform","90%",2650
"Cruciform","20%",2654
"Cruciform","70%",2655
"Cruciform","80%",2656
"Cruciform","80%",2657
"Cruciform","90%",2658
"Cruciform","10%",2659
"Cruciform","20%",2660
"Cruciform","30%",2660
"Cruciform","10%",2661
"Cruciform","40%",2662
"Cruciform","100%",2663
"Cruciform","100%",2664
"Cruciform","20%",2682
"Cruciform","50%",2683
"Cruciform","60%",2683
"Cruciform","100%",2684
"Cruciform","100%",2685
"Cruciform","40%",2686
"Cruciform","50%",2687
"Cruciform","60%",2687
"Cruciform","60%",2688
"Cruciform","100%",2689
"Cruciform","40%",2690
"Cruciform","70%",2691
"Cruciform","20%",2692
"Cruciform","30%",2692
"Cruciform","30%",2693
"Cruciform","10%",2700
"Cruciform","40%",2701
"Cruciform","50%",2701
"Cruciform","100%",2702
"Cruciform","40%",2703
"Cruciform","50%",2703
"Cruciform","60%",2703
"Cruciform","80%",2704
"Cruciform","90%",2704
"Cruciform","30%",2716
"Cruciform","50%",2717
"Cruciform","50%",2718
"Cruciform","60%",2718
"Cruciform","70%",2719
"Cruciform","80%",2719
"Cruciform","40%",2720
"Cruciform","40%",2721
"Cruciform","70%",2722
"Cruciform","80%",2722
"Cruciform","10%",2723
"Cruciform","10%",2724
"Cruciform","10%",2725
"Cruciform","20%",2726
"Cruciform","40%",2727
"Cruciform","50%",2728
"Cruciform","60%",2728
"Cruciform","10%",2729
"Cruciform","20%",2730
"Cruciform","30%",2730
"Cruciform","50%",2731
"Cruciform","10%",2732
"Cruciform","20%",2733
"Cruciform","30%",2734
"Cruciform","40%",2734
"Cruciform","40%",2735
"Cruciform","40%",2736
"Cruciform","50%",2736
"Cruciform","60%",2737
"Cruciform","70%",2738
"Cruciform","70%",2739
"Cruciform","80%",2740
"Cruciform","90%",2741
"Cruciform","30%",2742
"Cruciform","60%",2743
"Cruciform","80%",2744
"Cruciform","30%",2746
"Cruciform","30%",2747
"Cruciform","50%",2748
"Cruciform","80%",2749
"Cruciform","10%",2750
"Cruciform","20%",2750
"Cruciform","30%",2751
"Cruciform","70%",2752
"Cruciform","10%",2754
"Cruciform","50%",2755
"Cruciform","10%",2756
"Cruciform","20%",2756
"Cruciform","30%",2757
"Cruciform","30%",2758
"Cruciform","40%",2759
"Cruciform","50%",2759
"Cruciform","60%",2760
"Cruciform","60%",2761
"Cruciform","70%",2762
"Cruciform","80%",2762
"Cruciform","100%",2763
"Cruciform","40%",2765
"Cruciform","50%",2766
"Cruciform","60%",2767
"Cruciform","80%",2768
"Cruciform","80%",2769
"Cruciform","90%",2770
"Cruciform","100%",2771
"Cruciform","90%",2789
"Cruciform","100%",2790
"Cruciform","30%",2804
"Cruciform","10%",2812
"Cruciform","20%",2812
"Cruciform","20%",2813
"Cruciform","20%",2814
"Cruciform","30%",2815
"Cruciform","40%",2815
"Cruciform","40%",2816
"Cruciform","50%",2817
"Cruciform","100%",2818
"Cruciform","80%",2819
"Cruciform","90%",2819
"Cruciform","90%",2820
"Cruciform","100%",2821
"Cruciform","10%",2825
"Cruciform","90%",2826
"Cruciform","100%",2826
"Cruciform","10%",2827
"Cruciform","20%",2832
"Cruciform","30%",2833
"Cruciform","40%",2834
"Cruciform","50%",2834
"Cruciform","50%",2835
"Cruciform","60%",2836
"Cruciform","70%",2837
"Cruciform","80%",2838
"Cruciform","90%",2838
"Cruciform","10%",2839
"Cruciform","20%",2840
"Cruciform","30%",2841
"Cruciform","40%",2841
"Cruciform","50%",2841
"Cruciform","70%",2842
"Cruciform","80%",2842
"Cruciform","80%",2843
"Cruciform","80%",2845
"Cruciform","10%",2868
"Cruciform","30%",2869
"Cruciform","40%",2870
"Cruciform","50%",2871
"Cruciform","100%",2872
"Cruciform","70%",2873
"Cruciform","80%",2874
"Cruciform","50%",2875
"Cruciform","90%",2876
"Cruciform","30%",2877
"Cruciform","50%",2878
"Cruciform","50%",2879
"Cruciform","100%",2880
"Cruciform","100%",2881
"Cruciform","10%",2883
"Cruciform","40%",2884
"Cruciform","80%",2885
"Cruciform","20%",2886
"Cruciform","20%",2901
"Cruciform","80%",2902
"Cruciform","10%",2918
"Cruciform","50%",2919
"Cruciform","50%",2920
"Cruciform","60%",2921
"Cruciform","60%",2922
"Cruciform","70%",2922
"Cruciform","10%",2927
"Cruciform","20%",2928
"Cruciform","30%",2928
"Cruciform","50%",2929
"Cruciform","20%",2930
"Cruciform","20%",2931
"Cruciform","60%",2932
"Cruciform","70%",2933
"Cruciform","50%",2934
"Cruciform","90%",2935
"Cruciform","30%",2936
"Cruciform","40%",2937
"Cruciform","80%",2938
"Cruciform","90%",2939
"Cruciform","90%",2940
"Cruciform","60%",2942
"Cruciform","70%",2942
"Cruciform","90%",2943
"Cruciform","90%",2944
"Cruciform","10%",2952
"Cruciform","90%",2953
"Cruciform","90%",2954
"Cruciform","100%",2954
"Cruciform","80%",2997
"Cruciform","90%",2998
"Cruciform","20%",3009
"Cruciform","30%",3009
"Cruciform","40%",3009
"Cruciform","50%",3009
"Cruciform","20%",3014
"Cruciform","60%",3015
"Cruciform","10%",3016
"Cruciform","10%",3017
"Cruciform","20%",3017
"Cruciform","10%",3021
"Cruciform","20%",3021
"Cruciform","30%",3022
"Cruciform","50%",3023
"Cruciform","50%",3024
"Cruciform","50%",3025
"Cruciform","60%",3024
"Cruciform","60%",3025
"Cruciform","70%",3026
"Cruciform","80%",3027
"Cruciform","80%",3028
"Cruciform","30%",3029
"Cruciform","90%",3030
"Cruciform","100%",3030
"Cruciform","40%",3062
"Cruciform","50%",3062
"Cruciform","60%",3063
"Cruciform","100%",3064
"Cruciform","50%",3065
"Cruciform","90%",3066
"Cruciform","90%",3067
"Cruciform","10%",3068
"Cruciform","30%",3069
"Cruciform","40%",3069
"Cruciform","50%",3070
"Cruciform","60%",3070
"Cruciform","70%",3071
"Cruciform","90%",3072
"Cruciform","100%",3072
"Cruciform","50%",3082
"Cruciform","20%",3089
"Cruciform","30%",3089
"Cruciform","40%",3090
"Cruciform","40%",3091
"Cruciform","50%",3091
"Cruciform","50%",3092
"Cruciform","50%",3093
"Cruciform","60%",3094
"Cruciform","60%",3095
"Cruciform","90%",3096
"Cruciform","90%",3097
"Cruciform","20%",3110
"Cruciform","20%",3111
"Cruciform","30%",3111
"Cruciform","80%",3112
"Cruciform","10%",3113
"Cruciform","50%",3114
"Cruciform","60%",3114
"Cruciform","50%",3115
"Cruciform","50%",3116
"Cruciform","90%",3117
"Cruciform","40%",3121
"Cruciform","50%",3121
"Cruciform","90%",3122
"Cruciform","10%",3134
"Cruciform","20%",3135
"Cruciform","20%",3136
"Cruciform","50%",3137
"Cruciform","60%",3138
"Cruciform","70%",3138
"Cruciform","70%",3139
"Cruciform","80%",3139
"Cruciform","10%",3140
"Cruciform","10%",3141
"Cruciform","30%",3142
"Cruciform","30%",3143
"Cruciform","40%",3144
"Cruciform","40%",3145
"Cruciform","70%",3146
"Cruciform","80%",3147
"Cruciform","100%",3148
"Cruciform","100%",3149
"Cruciform","70%",3154
"Cruciform","40%",3155
"Cruciform","50%",3155
"Cruciform","20%",3164
"Cruciform","20%",3165
"Cruciform","20%",3166
"Cruciform","30%",3166
"Cruciform","60%",3167
"Cruciform","20%",3168
"Cruciform","30%",3169
"Cruciform","30%",3170
"Cruciform","30%",3171
"Cruciform","30%",3172
"Cruciform","100%",3173
"Cruciform","100%",3174
"Cruciform","30%",3179
"Cruciform","70%",3180
"Cruciform","80%",3180
"Cruciform","90%",3181
"Cruciform","100%",3182
"Cruciform","30%",3183
"Cruciform","70%",3184
"Cruciform","10%",3190
"Cruciform","80%",3224
"Cruciform","30%",3225
"Cruciform","40%",3225
"Cruciform","40%",3226
"Cruciform","60%",3227
"Cruciform","70%",3227
"Cruciform","80%",3228
"Cruciform","30%",3237
"Cruciform","30%",3238
"Cruciform","70%",3239
"Cruciform","90%",3240
"Cruciform","30%",3241
"Cruciform","30%",3242
"Cruciform","40%",3242
"Cruciform","20%",3244
"Cruciform","30%",3244
"Cruciform","30%",3245
"Cruciform","40%",3245
"Cruciform","50%",3246
"Cruciform","90%",3247
"Cruciform","90%",3248
"Cruciform","100%",3249
"Cruciform","10%",3251
"Cruciform","20%",3251
"Cruciform","20%",3252
"Cruciform","30%",3252
"Cruciform","30%",3253
"Cruciform","40%",3254
"Cruciform","50%",3255
"Cruciform","50%",3256
"Cruciform","70%",3257
"Cruciform","80%",3257
"Cruciform","80%",3258
"Cruciform","30%",3259
"Cruciform","40%",3259
"Cruciform","60%",3260
"Cruciform","80%",3261
"Cruciform","100%",3262
"Cruciform","80%",3269
"Cruciform","60%",3270
"Cruciform","70%",3270
"Cruciform","80%",3271
"Cruciform","100%",3272
"Cruciform","10%",3273
"Cruciform","20%",3274
"Cruciform","20%",3275
"Cruciform","30%",3275
"Cruciform","30%",3276
"Cruciform","40%",3277
"Cruciform","50%",3278
"Cruciform","60%",3279
"Cruciform","60%",3280
"Cruciform","80%",3281
"Cruciform","90%",3282
"Cruciform","100%",3283
"Cruciform","20%",3284
"Cruciform","30%",3284
"Cruciform","80%",3285
"Cruciform","90%",3285
"Cruciform","100%",3285
"Cruciform","50%",3286
"Cruciform","40%",3292
"Cruciform","50%",3292
"Cruciform","60%",3293
"Cruciform","70%",3293
"Cruciform","80%",3293
"Cruciform","90%",3293
"Cruciform","100%",3293
"Cruciform","40%",3314
"Cruciform","50%",3314
"Cruciform","10%",3317
"Cruciform","30%",3318
"Cruciform","30%",3319
"Cruciform","50%",3320
"Cruciform","60%",3320
"Cruciform","90%",3321
"Cruciform","90%",3322
"Cruciform","100%",3322
"Cruciform","70%",3323
"Cruciform","80%",3323
"Cruciform","10%",3330
"Cruciform","20%",3331
"Cruciform","30%",3332
"Cruciform","60%",3333
"Cruciform","70%",3334
"Cruciform","20%",3348
"Cruciform","30%",3348
"Cruciform","40%",3349
"Cruciform","40%",3350
"Cruciform","50%",3351
"Cruciform","50%",3352
"Cruciform","60%",3352
"Cruciform","70%",3353
"Cruciform","80%",3353
"Cruciform","10%",3354
"Cruciform","10%",3355
"Cruciform","10%",3356
"Cruciform","20%",3357
"Cruciform","70%",3358
"Cruciform","80%",3359
"Cruciform","90%",3359
"Cruciform","90%",3360
"Cruciform","100%",3360
"Cruciform","100%",3361
"Cruciform","20%",3365
"Cruciform","20%",3366
"Cruciform","30%",3366
"Cruciform","30%",3367
"Cruciform","30%",3368
"Cruciform","40%",3369
"Cruciform","50%",3370
"Cruciform","50%",3371
"Cruciform","60%",3370
"Cruciform","60%",3371
"Cruciform","10%",3374
"Cruciform","90%",3375
"Cruciform","100%",3375
"Cruciform","20%",3377
"Cruciform","30%",3378
"Cruciform","60%",3379
"Cruciform","60%",3380
"Cruciform","70%",3380
"Cruciform","80%",3381
"Cruciform","90%",3382
"Cruciform","20%",3385
"Cruciform","30%",3385
"Cruciform","40%",3385
"Cruciform","50%",3385
"Cruciform","60%",3385
"Cruciform","70%",3385
"Cruciform","10%",3386
"Cruciform","20%",3386
"Cruciform","30%",3393
"Cruciform","40%",3394
"Cruciform","70%",3395
"Cruciform","80%",3396
"Cruciform","90%",3396
"Cruciform","100%",3397
"Cruciform","100%",3398
"Cruciform","10%",3399
"Cruciform","20%",3399
"Cruciform","30%",3400
"Cruciform","50%",3401
"Cruciform","60%",3401
"Cruciform","20%",3404
"Cruciform","50%",3406
"Cruciform","70%",3407
"Cruciform","90%",3408
"Cruciform","50%",3411
"Cruciform","30%",3412
"Cruciform","60%",3413
"Cruciform","70%",3413
"Cruciform","10%",3422
"Cruciform","10%",3423
"Cruciform","20%",3424
"Cruciform","40%",3425
"Cruciform","50%",3425
"Cruciform","50%",3426
"Cruciform","50%",3427
"Cruciform","90%",3428
"Cruciform","100%",3429
"Cruciform","100%",3430
"Cruciform","10%",3438
"Cruciform","10%",3439
"Cruciform","30%",3440
"Cruciform","60%",3441
"Cruciform","70%",3442
"Cruciform","70%",3443
"Cruciform","100%",3444
"Cruciform","60%",3445
"Cruciform","60%",3446
"Cruciform","100%",3447
"Cruciform","100%",3450
"Cruciform","100%",3451
"Cruciform","10%",3498
"Cruciform","50%",3499
"Cruciform","100%",3500
"Cruciform","20%",3501
"Cruciform","30%",3501
"Cruciform","40%",3501
"Cruciform","80%",3504
"Cruciform","20%",3505
"Cruciform","60%",3506
"Cruciform","70%",3507
"Cruciform","90%",3508
"Cruciform","10%",3515
"Cruciform","60%",3516
"Cruciform","60%",3517
"Cruciform","70%",3517
"Cruciform","20%",3518
"Cruciform","20%",3519
"Cruciform","30%",3520
"Cruciform","70%",3521
"Cruciform","80%",3522
"Cruciform","90%",3523
"Cruciform","90%",3524
"Cruciform","100%",3524
"Cruciform","90%",3533
"Cruciform","60%",3535
"Cruciform","90%",3536
"Cruciform","90%",3537
"Cruciform","20%",3542
"Cruciform","30%",3542
"Cruciform","30%",3543
"Cruciform","40%",3543
"Cruciform","60%",3544
"Cruciform","80%",3545
"Cruciform","80%",3547
"Cruciform","100%",3548
"Cruciform","40%",3549
"Cruciform","80%",3550
"Cruciform","100%",3551
"Cruciform","40%",3552
"Cruciform","50%",3552
"Cruciform","10%",3553
"Cruciform","50%",3563
"Cruciform","60%",3563
"Cruciform","70%",3563
"Cruciform","80%",3563
"Cruciform","90%",3563
"Cruciform","100%",3563
"Cruciform","10%",3564
"Cruciform","20%",3565
"Cruciform","60%",3566
"Cruciform","40%",3568
"Cruciform","50%",3569
"Cruciform","60%",3570
"Cruciform","70%",3570
"Cruciform","80%",3571
"Cruciform","90%",3572
"Cruciform","90%",3573
"Cruciform","100%",3574
"Cruciform","100%",3575
"Cruciform","40%",3576
"Cruciform","90%",3577
"Cruciform","50%",3612
"Cruciform","50%",3613
"Cruciform","60%",3613
"Cruciform","70%",3613
"Cruciform","80%",3614
"Cruciform","10%",3621
"Cruciform","40%",3622
"Cruciform","70%",3623
"Cruciform","70%",3624
"Cruciform","70%",3625
"Cruciform","70%",3626
"Cruciform","80%",3627
"Cruciform","80%",3628
"Cruciform","90%",3628
"Cruciform","90%",3629
"Cruciform","30%",3636
"Cruciform","70%",3637
"Cruciform","40%",3638
"Cruciform","60%",3639
"Cruciform","60%",3640
"Cruciform","70%",3640
"Cruciform","70%",3641
"Cruciform","80%",3641
"Cruciform","80%",3642
"Cruciform","100%",3643
"Cruciform","50%",3644
"Cruciform","60%",3645
"Cruciform","80%",3646
"Cruciform","20%",3647
"Cruciform","30%",3647
"Cruciform","40%",3647
"Cruciform","50%",3647
"Cruciform","10%",3648
"Cruciform","50%",3649
"Cruciform","60%",3650
"Cruciform","60%",3651
"Cruciform","90%",3652
"Cruciform","10%",3653
"Cruciform","10%",3654
"Cruciform","20%",3655
"Cruciform","60%",3656
"Cruciform","60%",3657
"Cruciform","70%",3658
"Cruciform","80%",3659
"Cruciform","20%",3660
"Cruciform","30%",3660
"Cruciform","60%",3661
"Cruciform","60%",3662
"Cruciform","70%",3663
"Cruciform","80%",3663
"Cruciform","80%",3664
"Cruciform","100%",3665
"Cruciform","30%",3672
"Cruciform","50%",3673
"Cruciform","10%",3677
"Cruciform","80%",3678
"Cruciform","90%",3679
"Cruciform","100%",3680
"Cruciform","70%",3681
"Cruciform","70%",3682
"Cruciform","100%",3683
"Cruciform","30%",3684
"Cruciform","40%",3685
"Cruciform","80%",3686
"Cruciform","80%",3687
"Cruciform","90%",3687
"Cruciform","10%",3708
"Cruciform","60%",3709
"Cruciform","80%",3710
"Cruciform","20%",3711
"Cruciform","40%",3712
"Cruciform","50%",3713
"Cruciform","60%",3714
"Cruciform","100%",3715
"Cruciform","10%",3716
"Cruciform","40%",3717
"Cruciform","40%",3718
"Cruciform","60%",3719
"Cruciform","70%",3720
"Cruciform","90%",3721
"Cruciform","100%",3721
"Cruciform","100%",3722
"Cruciform","100%",3723
"Cruciform","30%",3724
"Cruciform","40%",3724
"Cruciform","40%",3725
"Cruciform","90%",3726
"Cruciform","40%",3727
"Cruciform","100%",3728
"Cruciform","50%",3729
"Cruciform","60%",3729
"Cruciform","70%",3730
"Cruciform","80%",3730
"Cruciform","30%",3731
"Cruciform","40%",3731
"Cruciform","60%",3732
"Cruciform","70%",3732
"Cruciform","80%",3732
