"","A-phased","Cruciform","G-quadruplex","R-loop","Short_tandem","Triplex","Z-DNA","Hi-C"
"A-phased",1,1.27490746795583,0,0,0,1.11383801466403,0,1.08202557442409
"Cruciform",1.27490746795583,1,0.929136963041845,0.998147426443309,1.1074609975434,1.05095989523476,1.05509383444444,1.06292922479646
"G-quadruplex",0,0.929136963041845,1,5.12902743420144,2.10200402943857,1.96856813710921,0.378302180649519,1.0610848489335
"R-loop",0,0.998147426443309,5.12902743420144,1,0.789730747271369,0.802297188690713,0.709928316575387,1.04079765761114
"Short_tandem",0,1.1074609975434,2.10200402943857,0.789730747271369,1,3.01914810727012,1.77137092226869,1.00758167250979
"Triplex",1.11383801466403,1.05095989523476,1.96856813710921,0.802297188690713,3.01914810727012,1,1.24350235471665,0.988604824229891
"Z-DNA",0,1.05509383444444,0.378302180649519,0.709928316575387,1.77137092226869,1.24350235471665,1,0.737812917214428
"Hi-C",1.08202557442409,1.06292922479646,1.0610848489335,1.04079765761114,1.00758167250979,0.988604824229891,0.737812917214428,1
