"Classe","Tamanho_bp","Cobertura_Genoma","Sobreposicao_HiC_bp","Sobreposicao_Esperada_bp","Fracao_no_HiC","Fold_Enrichment","Significancia"
"R-loop",978576,38.062,883877,816873,90.32,1.08,"Neutro"
"Short_tandem",17895,0.696,15878,14938,88.73,1.06,"Neutro"
"Z-DNA",1146783,44.604,1015760,957284,88.57,1.06,"Neutro"
"G-quadruplex",4101,0.16,3563,3423,86.88,1.04,"Neutro"
"Cruciform",3872988,150.641,3257513,3233001,84.11,1.01,"Neutro"
"Triplex",66241,2.576,54665,55295,82.52,0.99,"Neutro"
"A-phased",453,0.018,279,378,61.59,0.74,"Neutro"
